RT,Kh,Kv_Kh,So,INJP,VL,TS,HL,WD,LN,OR_FPP,CO_FPP,SOR_FPP,CSOR_FPP,OR_FPT,CO_FPT,SOR_FPT,CSOR_FPT,OR_Half,CO_Half,SOR_Half,CSOR_Half,OR_FPT_6,CO_FPT_6,SOR_FPT_6,CSOR_FPT_6,OR_FPT_12,CO_FPT_12,SOR_FPT_12,CSOR_FPT_12,OR_FPT_18,CO_FPT_18,SOR_FPT_18,CSOR_FPT_18,OR_FPT_24,CO_FPT_24,SOR_FPT_24,CSOR_FPT_24,T_FPP,T_FPT,T_Half
0.333333333,0.2,0.4,0.5,0.285714286,0,0.4,0.083333333,0.678571429,0.833333333,0.085343457,0.09572975,0.25873722,0.347655292,0.126605185,0.210642418,0.273780953,0.317917583,0.107398983,0.186562611,0.268587871,0.311314173,0.077111348,0.205530779,0.365349331,0.320875013,0.068604797,0.201927743,0.384042468,0.329533704,0.066405938,0.201053955,0.402392136,0.349655794,0.078954632,0.202688061,0.41395762,0.377872673,0.163636364,0.457142857,0.504504505
0.333333333,0.7,0.4,0.2,0.714285714,1,1,0.083333333,0.321428571,0.666666667,0.426203246,0.188324222,0.258741756,0.295912677,0.548158648,0.154278178,0.235760433,0.206177019,0.525880213,0.167925125,0.201800469,0.194056376,0.540545691,0.217132507,0.155935807,0.216583724,0.540778723,0.311702516,0.110129182,0.188306147,0.39011218,0.401136175,0.141070288,0.171338705,0.27624336,0.449944045,0.257960895,0.182777135,0.090909091,0.1,0.081081081
0.833333333,0.5,0.4,0.6,0.142857143,1,1,0.333333333,0.214285714,0.833333333,0.233524179,0.133229917,0.1308974,0.148934498,0.262503195,0.133168382,0.127498991,0.133663064,0.299213924,0.143272518,0.175891938,0.109987847,0.202529033,0.15252216,0.133427588,0.13858003,0.213714434,0.181884656,0.15978995,0.139370885,0.252091924,0.221165937,0.14505195,0.144971432,0.324426446,0.269721941,0.13764284,0.150250345,0.127272727,0.171428571,0.153153153
1,0.6,0.5,0.7,1,0.5,0.6,0.25,0.178571429,1,0.320170807,0.066652734,0.101616445,0.139816295,0.290203746,0.103144074,0.232757188,0.1982006,0.465490272,0.09758058,0.180383196,0.127608324,0.330785318,0.139532701,0.185306129,0.212745373,0.419144784,0.206372355,0.233750054,0.208160342,0.404252915,0.286044699,0.255635417,0.22041723,0.476597154,0.362590901,0.229356572,0.236907567,0.054545455,0.1,0.099099099
0.166666667,0.2,0.2,0.4,0.714285714,0.5,0,0.666666667,0.285714286,0.166666667,0.214790346,0.182362898,0.153606903,0.252022698,0.289310958,0.097687966,0.091102998,0.100955545,0.320821462,0.123182694,0.08394043,0.112271161,0.189716941,0.120361144,0.12327647,0.105673593,0.163345186,0.143831067,0.155102576,0.112152847,0.149316654,0.166604512,0.201573555,0.125211035,0.183552306,0.191435159,0.209821063,0.144037914,0.181818182,0.157142857,0.117117117
0.833333333,0.1,0.1,0.1,0.142857143,0,0.2,0.75,0.464285714,0.5,0.003911962,0.07615439,0.346961879,0.450730239,0.072565642,0.073839528,0.334244902,0.340834331,0.07421684,0.085627687,0.285647645,0.325487524,0.043625815,0.070217845,0.438858499,0.35404897,0.035663847,0.068381291,0.471489282,0.3700347,0.036794039,0.068139499,0.475581315,0.396285742,0.046501072,0.069989054,0.479709259,0.428749915,0.163636364,0.285714286,0.279279279
1,0.3,1,0.5,0.571428571,0,0.2,0.5,0.785714286,0.333333333,0.364654082,0.225635421,0.268176343,0.349561237,0.3507096,0.845315752,0.073751044,0.193535891,0.286085457,0.717016097,0.166916666,0.2452463,0.229481748,0.830166507,0.091585072,0.185051926,0.241418249,0.823260397,0.070276318,0.179041974,0.211987834,0.822564481,0.078332625,0.181439782,0.215483394,0.824248054,0.092903204,0.190887453,0.163636364,0.757142857,0.873873874
1,0,0.4,0.9,0.428571429,0,0.8,0.083333333,0.178571429,1,0.027542705,0.092042743,0.203992325,0.222110993,0.089018295,0.036210942,0.287614408,0.162181705,0.083891552,0.058234872,0.206164705,0.122683547,0.059563137,0.037269453,0.373956047,0.203058862,0.047660981,0.040707721,0.439638588,0.237987881,0.035952624,0.043733988,0.473341895,0.279056531,0.028444584,0.044293087,0.476722901,0.320386394,0.2,0.2,0.162162162
0.166666667,0.6,0.8,1,0.285714286,1,1,0.333333333,0.285714286,0.333333333,0.385551684,0.36583302,0.06762345,0.13028843,0.411748628,0.291235293,0.021330104,0.019637272,0.509268162,0.335538246,0.029670278,0.02648912,0.299034005,0.318997324,0.017821598,0.01848816,0.291770042,0.352271655,0.04863149,0.019321009,0.339606846,0.40482648,0.037813511,0.021827448,0.405839938,0.459877011,0.039944192,0.026402991,0.236363636,0.257142857,0.207207207
1,0.7,0,0.1,1,0.5,0.2,0.333333333,0.571428571,0,0.448397501,0.204608711,0.248210367,0.408264236,0.714485663,0.241171828,0.389480885,0.344001071,0.610865723,0.227192075,0.300480115,0.287740215,0.453846911,0.303793383,0.45432397,0.389563679,0.366659157,0.3666594,0.377823173,0.397284526,0.389533012,0.425898447,0.238594444,0.393199315,0.438147984,0.493973176,0.217408635,0.383476265,0.127272727,0.157142857,0.135135135
0.5,0,0.7,0.7,0.142857143,1,0,0.916666667,0.607142857,0.833333333,0.113414022,0.171688326,0.168727853,0.196357679,0.144054142,0.218173302,0.125859049,0.145793289,0.151583913,0.232537841,0.14542495,0.153309766,0.08879699,0.214479779,0.174936437,0.146454441,0.08490779,0.213680873,0.17763539,0.15026376,0.078901028,0.215466982,0.20082464,0.161422006,0.091250527,0.219179416,0.206238714,0.177226274,0.236363636,0.414285714,0.405405405
1,0.9,0.6,0.1,0.428571429,1,0.2,0.083333333,0.821428571,0,0.709797586,0.290461992,0.306697113,0.377616364,0.812457607,0.452821161,0.190831502,0.32409969,0.806658272,0.401319892,0.31655434,0.32903889,0.53637422,0.519127994,0.161955162,0.299753535,0.529781649,0.595422933,0.113058975,0.268729438,0.463461385,0.670885464,0.105783409,0.250638553,0.410946623,0.731133475,0.11856984,0.247348778,0.109090909,0.185714286,0.189189189
0.166666667,0.7,0,0.2,0.571428571,0,0.6,0.583333333,0.392857143,0.833333333,0.120669128,0.119495819,0.368133528,0.439106632,0.200027107,0.035987201,0.321129374,0.278255618,0.224924313,0.065221666,0.272458633,0.281122773,0.123748419,0.050463866,0.50842696,0.331969486,0.129432272,0.068489649,0.472565526,0.370984331,0.128711504,0.0892523,0.486533036,0.40469233,0.162565355,0.112696922,0.488689172,0.438899609,0.145454545,0.114285714,0.072072072
0.833333333,0.6,0.4,0.8,0,0.5,0.8,0.25,0.607142857,0.5,0.225069403,0.439322697,0.17522793,0.216924262,0.227440634,0.371222429,0.058607491,0.08772819,0.281237351,0.43448144,0.076554935,0.109199422,0.134055358,0.367952826,0.106553495,0.084914379,0.144523559,0.368079764,0.131911228,0.088127625,0.160149644,0.377110731,0.118011607,0.097795501,0.193555105,0.393304785,0.111645595,0.108072378,0.418181818,0.514285714,0.432432432
0,0.9,0.4,0.8,0.857142857,1,1,0.416666667,0.25,0.666666667,0.439302905,0.178168475,0.093615435,0.133163739,0.431284072,0.162430536,0.067135947,0.056106833,0.655273928,0.182927396,0.061630227,0.048937104,0.367934625,0.205256303,0.054981261,0.060666473,0.438245865,0.266338613,0.058654361,0.057956556,0.430595096,0.349255082,0.085837328,0.05841772,0.462460709,0.432921387,0.041220526,0.062302893,0.109090909,0.128571429,0.099099099
0.833333333,0,0.2,0,0.428571429,0.5,0.2,0.083333333,0.178571429,0,0.056217357,0.153611402,0.303803201,0.445739194,0.147768471,0.077920776,0.282798749,0.284146949,0.133726237,0.109954271,0.263557168,0.289909581,0.086749529,0.082582888,0.386871038,0.302084624,0.07897418,0.088779227,0.398454623,0.318834705,0.081052814,0.097701666,0.380595589,0.340201707,0.101041836,0.108655043,0.372055558,0.363091548,0.254545455,0.257142857,0.198198198
0.5,0.1,1,1,0.142857143,1,0.2,0.333333333,0.214285714,0.166666667,0.292247751,0.613401366,0.083663368,0.152658116,0.316788039,0.327209067,0.016305048,0.020031987,0.350047926,0.430730315,0.019261064,0.032207425,0.238615353,0.341341409,0.030259735,0.018649937,0.239667425,0.363550627,0.045913947,0.019943425,0.241490576,0.394033742,0.054279043,0.026021896,0.279278728,0.426962718,0.058129106,0.03275847,0.509090909,0.442857143,0.315315315
0.666666667,0.5,0.1,0.9,0.142857143,0,0.8,0.666666667,0.642857143,0.833333333,0.088194798,0.36601737,0.289292179,0.311625777,0.14766847,0.223755959,0.115846254,0.16589765,0.159847979,0.291686309,0.149939003,0.193549927,0.092076468,0.220747525,0.162298926,0.163170597,0.072704086,0.217735542,0.232162171,0.166687605,0.079922415,0.218279618,0.211921265,0.181237418,0.089287256,0.221723446,0.248105493,0.198485107,0.545454545,0.557142857,0.423423423
0.833333333,1,0.5,0.2,0.714285714,0.5,0.6,0.25,0.821428571,0.833333333,0.393420817,0.099914846,0.302275855,0.362507217,0.525157937,0.229863798,0.419572711,0.510120685,0.486940017,0.185405162,0.44381618,0.435041237,0.369730341,0.272773115,0.370210214,0.505228568,0.428208351,0.33021733,0.249436613,0.466866701,0.449006204,0.412373605,0.22640111,0.424091766,0.529773491,0.493829256,0.177257881,0.401183161,0.054545455,0.142857143,0.162162162
0.833333333,0.6,0,0.7,0,1,0,0.75,0.392857143,0.5,0.179898417,0.127782619,0.060466187,0.134892442,0.37101515,0.184213397,0.062921463,0.052988194,0.320749303,0.166335169,0.049906383,0.04697155,0.232881979,0.208239229,0.105742031,0.061679903,0.227634135,0.237881218,0.1011997,0.067903964,0.22564813,0.270305804,0.099621765,0.074844507,0.271541138,0.308067608,0.1006174,0.08261967,0.145454545,0.228571429,0.216216216
0.166666667,0,0.3,0.1,0.142857143,0,0,0.083333333,0.75,1,0.016932434,0.002903309,0.272017246,0.242228002,0.002303467,0.092074856,0.576387677,0.564615866,0,0.088680492,0.544343376,0.483449053,0.002586447,0.079298141,0.754143901,0.5766413,0.002580687,0.069389984,0.795208193,0.597861044,0.002560062,0.061169306,0.835916676,0.638063706,0.002392532,0.054679263,0.88431409,0.694340504,0.018181818,0.442857143,0.54954955
0.166666667,0.5,0,0.3,0.857142857,1,0.8,1,0.428571429,0.333333333,0.32186362,0.209158614,0.152578432,0.235811586,0.462374935,0.115873857,0.1166293,0.104603013,0.519646268,0.154184159,0.086429365,0.108324245,0.325580557,0.160756149,0.139536925,0.115701043,0.293707349,0.210936241,0.156230369,0.119551122,0.259736895,0.257741111,0.183726166,0.131197402,0.33848763,0.306628405,0.160632821,0.143532978,0.145454545,0.128571429,0.081081081
0.166666667,0.6,0.8,0.1,0.714285714,1,0,0.25,0.321428571,0.5,0.48975864,0.060526817,0.161443402,0.222746489,0.54668017,0.137248338,0.257657462,0.226900008,0.611159748,0.119322685,0.171981688,0.180627514,0.527751261,0.205186706,0.192709016,0.238841757,0.554524997,0.300594871,0.123033578,0.210628909,0.517495778,0.407576112,0.088465399,0.179833938,0.340022911,0.476872549,0.174872396,0.17756753,0.018181818,0.057142857,0.063063063
0.666666667,0.2,0.1,0.1,0.142857143,0,1,0.166666667,0.5,0,0.132221772,0.47629408,0.480152894,0.508278418,0.261137755,0.364040074,0.203749312,0.332468764,0.263556702,0.413280327,0.297807087,0.374660241,0.154638046,0.365082598,0.238785153,0.32477823,0.126315045,0.365825558,0.238025264,0.322058183,0.125446303,0.368102609,0.218907302,0.329924339,0.15902254,0.377276626,0.182842149,0.342859665,0.654545455,0.685714286,0.540540541
0.166666667,0.4,0.5,0.7,0.142857143,0.5,0.4,0.25,0.107142857,0.166666667,0.290465535,0.345539455,0.125333288,0.196360624,0.297740166,0.168064588,0.04306398,0.057874756,0.360953134,0.232982402,0.066425569,0.071397597,0.201813934,0.187613775,0.05998826,0.056536389,0.213916091,0.21367089,0.071835344,0.05701829,0.219525667,0.247538485,0.076581545,0.061146642,0.256243554,0.282734555,0.08972071,0.067300949,0.309090909,0.257142857,0.171171171
0.5,0.1,0.9,0.1,0.571428571,0,0.6,0.5,0.785714286,0.333333333,0.154121056,0.111983453,0.329313479,0.48586727,0.203328881,0.33485738,0.277492098,0.425499164,0.236044588,0.293081806,0.356621713,0.464264048,0.121601087,0.331293398,0.329325644,0.417155439,0.09529878,0.326703035,0.35726002,0.416853871,0.089741345,0.323923798,0.331067587,0.430544261,0.112161377,0.325514013,0.2983095,0.450453597,0.127272727,0.442857143,0.495495495
0,0.3,0.8,1,0.571428571,0.5,1,0.416666667,0.178571429,0.166666667,0.326304598,0.285926485,0.10515847,0.169364837,0.336243494,0.198049675,0.03704188,0.045070175,0.420191599,0.234266787,0.045888558,0.054760645,0.244322521,0.22277698,0.039377991,0.042929777,0.209189735,0.249521499,0.081734859,0.04430762,0.230735729,0.282460536,0.089327138,0.051288179,0.27471214,0.318377478,0.092414315,0.060546059,0.236363636,0.228571429,0.18018018
0.166666667,0.6,0.4,0,0.714285714,1,0.4,0.583333333,0.321428571,0.833333333,0.371066618,0.076256163,0.302679928,0.356321363,0.377191406,0.068332143,0.426129098,0.367544185,0.401178404,0.066491369,0.333388456,0.289561763,0.325025265,0.113317388,0.394440654,0.396155807,0.334556105,0.169044803,0.312149294,0.390860636,0.395398921,0.238267443,0.193303232,0.355637182,0.450673344,0.322689847,0.152731985,0.314829923,0.036363636,0.042857143,0.045045045
1,1,0.2,0.3,0,0.5,0.2,0.083333333,0.75,0.833333333,0.212242758,0.147886129,0.303966162,0.329803361,0.295705469,0.118311528,0.292725347,0.263670866,0.340132113,0.126767865,0.263248848,0.238066712,0.17375955,0.137629892,0.445010787,0.295515932,0.156048648,0.15813232,0.527253573,0.333142965,0.17397377,0.182266381,0.42838159,0.375510069,0.220939936,0.212976975,0.354228621,0.402485297,0.127272727,0.142857143,0.126126126
